#时间: 20240828 112607
#方向: 正向
#光源电流: 0.002930
#干涉仪温度: 28.010000
#干涉仪湿度: 55.218025
#激光波长: 790.553682
#动镜速度: 10k
#增益: Default
#累积帧数: 16
#校正: 功率谱
#XUnit: cm-1
5450.8940 -0.383811 
5457.0418 -0.384548 
5463.1897 -0.384616 
5469.3376 -0.384717 
5475.4854 -0.384788 
5481.6333 -0.384366 
5487.7811 -0.383949 
5493.9290 -0.384148 
5500.0768 -0.384513 
5506.2247 -0.384607 
5512.3725 -0.384662 
5518.5204 -0.384775 
5524.6683 -0.384735 
5530.8161 -0.384599 
5536.9640 -0.384531 
5543.1118 -0.384498 
5549.2597 -0.384535 
5555.4075 -0.384709 
5561.5554 -0.384894 
5567.7032 -0.384979 
5573.8511 -0.385013 
5579.9990 -0.385030 
5586.1468 -0.384969 
5592.2947 -0.384829 
5598.4425 -0.384684 
5604.5904 -0.384549 
5610.7382 -0.384379 
5616.8861 -0.384171 
5623.0339 -0.383962 
5629.1818 -0.383766 
5635.3297 -0.383562 
5641.4775 -0.383327 
5647.6254 -0.383041 
5653.7732 -0.382670 
5659.9211 -0.382226 
5666.0689 -0.381810 
5672.2168 -0.381493 
5678.3646 -0.381219 
5684.5125 -0.380903 
5690.6604 -0.380561 
5696.8082 -0.380254 
5702.9561 -0.379983 
5709.1039 -0.379718 
5715.2518 -0.379465 
5721.3996 -0.379251 
5727.5475 -0.379068 
5733.6954 -0.378875 
5739.8432 -0.378669 
5745.9911 -0.378494 
5752.1389 -0.378358 
5758.2868 -0.378236 
5764.4346 -0.378133 
5770.5825 -0.378054 
5776.7303 -0.378004 
5782.8782 -0.378043 
5789.0261 -0.378207 
5795.1739 -0.378437 
5801.3218 -0.378638 
5807.4696 -0.378770 
5813.6175 -0.378858 
5819.7653 -0.378928 
5825.9132 -0.378981 
5832.0610 -0.379031 
5838.2089 -0.379095 
5844.3568 -0.379182 
5850.5046 -0.379293 
5856.6525 -0.379400 
5862.8003 -0.379498 
5868.9482 -0.379651 
5875.0960 -0.379911 
5881.2439 -0.380236 
5887.3917 -0.380539 
5893.5396 -0.380824 
5899.6875 -0.381193 
5905.8353 -0.381698 
5911.9832 -0.382325 
5918.1310 -0.383033 
5924.2789 -0.383744 
5930.4267 -0.384399 
5936.5746 -0.384998 
5942.7225 -0.385557 
5948.8703 -0.386097 
5955.0182 -0.386633 
5961.1660 -0.387181 
5967.3139 -0.387730 
5973.4617 -0.388232 
5979.6096 -0.388632 
5985.7574 -0.388950 
5991.9053 -0.389233 
5998.0532 -0.389480 
6004.2010 -0.389663 
6010.3489 -0.389797 
6016.4967 -0.389931 
6022.6446 -0.390096 
6028.7924 -0.390252 
6034.9403 -0.390353 
6041.0881 -0.390379 
6047.2360 -0.390329 
6053.3839 -0.390234 
6059.5317 -0.390134 
6065.6796 -0.390036 
6071.8274 -0.389915 
6077.9753 -0.389763 
6084.1231 -0.389621 
6090.2710 -0.389538 
6096.4188 -0.389497 
6102.5667 -0.389430 
6108.7146 -0.389298 
6114.8624 -0.389139 
6121.0103 -0.388997 
6127.1581 -0.388851 
6133.3060 -0.388681 
6139.4538 -0.388537 
6145.6017 -0.388407 
6151.7496 -0.388228 
6157.8974 -0.388032 
6164.0453 -0.387895 
6170.1931 -0.387823 
6176.3410 -0.387766 
6182.4888 -0.387690 
6188.6367 -0.387626 
6194.7845 -0.387585 
6200.9324 -0.387488 
6207.0803 -0.387318 
6213.2281 -0.387146 
6219.3760 -0.387011 
6225.5238 -0.386903 
6231.6717 -0.386795 
6237.8195 -0.386678 
6243.9674 -0.386552 
6250.1152 -0.386382 
6256.2631 -0.386168 
6262.4110 -0.385952 
6268.5588 -0.385747 
6274.7067 -0.385544 
6280.8545 -0.385354 
6287.0024 -0.385172 
6293.1502 -0.384988 
6299.2981 -0.384794 
6305.4459 -0.384589 
6311.5938 -0.384403 
