#时间: 20240902 141218
#方向: 正向
#光源电流: 0.002930
#干涉仪温度: 28.000000
#干涉仪湿度: 59.367676
#激光波长: 790.553151
#动镜速度: 7.5k
#增益: Default
#累积帧数: 4
#校正: 功率谱
#XUnit: cm-1
5457.0418 -0.397676 
5463.1897 -0.397427 
5469.3376 -0.397254 
5475.4854 -0.397304 
5481.6333 -0.397337 
5487.7811 -0.397105 
5493.9290 -0.396839 
5500.0768 -0.396713 
5506.2247 -0.396514 
5512.3725 -0.396239 
5518.5204 -0.396104 
5524.6683 -0.396106 
5530.8161 -0.396025 
5536.9640 -0.395762 
5543.1118 -0.395454 
5549.2597 -0.395242 
5555.4075 -0.395101 
5561.5554 -0.394916 
5567.7032 -0.394690 
5573.8511 -0.394487 
5579.9990 -0.394291 
5586.1468 -0.394098 
5592.2947 -0.393915 
5598.4425 -0.393734 
5604.5904 -0.393571 
5610.7382 -0.393414 
5616.8861 -0.393229 
5623.0339 -0.392974 
5629.1818 -0.392596 
5635.3297 -0.392150 
5641.4775 -0.391743 
5647.6254 -0.391368 
5653.7732 -0.390942 
5659.9211 -0.390454 
5666.0689 -0.390014 
5672.2168 -0.389700 
5678.3646 -0.389428 
5684.5125 -0.389110 
5690.6604 -0.388765 
5696.8082 -0.388449 
5702.9561 -0.388175 
5709.1039 -0.387890 
5715.2518 -0.387555 
5721.3996 -0.387214 
5727.5475 -0.386907 
5733.6954 -0.386622 
5739.8432 -0.386372 
5745.9911 -0.386172 
5752.1389 -0.386025 
5758.2868 -0.385903 
5764.4346 -0.385760 
5770.5825 -0.385608 
5776.7303 -0.385505 
5782.8782 -0.385489 
5789.0261 -0.385556 
5795.1739 -0.385671 
5801.3218 -0.385819 
5807.4696 -0.385969 
5813.6175 -0.386012 
5819.7653 -0.385897 
5825.9132 -0.385725 
5832.0610 -0.385608 
5838.2089 -0.385551 
5844.3568 -0.385476 
5850.5046 -0.385359 
5856.6525 -0.385302 
5862.8003 -0.385358 
5868.9482 -0.385475 
5875.0960 -0.385639 
5881.2439 -0.385869 
5887.3917 -0.386130 
5893.5396 -0.386384 
5899.6875 -0.386627 
5905.8353 -0.386897 
5911.9832 -0.387274 
5918.1310 -0.387802 
5924.2789 -0.388417 
5930.4267 -0.388976 
5936.5746 -0.389414 
5942.7225 -0.389794 
5948.8703 -0.390156 
5955.0182 -0.390477 
5961.1660 -0.390771 
5967.3139 -0.391091 
5973.4617 -0.391471 
5979.6096 -0.391875 
5985.7574 -0.392223 
5991.9053 -0.392484 
5998.0532 -0.392649 
6004.2010 -0.392714 
6010.3489 -0.392750 
6016.4967 -0.392804 
6022.6446 -0.392864 
6028.7924 -0.392926 
6034.9403 -0.392940 
6041.0881 -0.392837 
6047.2360 -0.392622 
6053.3839 -0.392359 
6059.5317 -0.392144 
6065.6796 -0.392044 
6071.8274 -0.391981 
6077.9753 -0.391836 
6084.1231 -0.391589 
6090.2710 -0.391308 
6096.4188 -0.391047 
6102.5667 -0.390824 
6108.7146 -0.390635 
6114.8624 -0.390445 
6121.0103 -0.390174 
6127.1581 -0.389821 
6133.3060 -0.389501 
6139.4538 -0.389267 
6145.6017 -0.389065 
6151.7496 -0.388855 
6157.8974 -0.388644 
6164.0453 -0.388405 
6170.1931 -0.388094 
6176.3410 -0.387740 
6182.4888 -0.387405 
6188.6367 -0.387128 
6194.7845 -0.386927 
6200.9324 -0.386721 
6207.0803 -0.386426 
6213.2281 -0.386104 
6219.3760 -0.385825 
6225.5238 -0.385557 
6231.6717 -0.385235 
6237.8195 -0.384845 
6243.9674 -0.384460 
6250.1152 -0.384141 
6256.2631 -0.383848 
6262.4110 -0.383576 
6268.5588 -0.383368 
6274.7067 -0.383203 
6280.8545 -0.383018 
6287.0024 -0.382773 
6293.1502 -0.382463 
6299.2981 -0.382132 
6305.4459 -0.381801 
6311.5938 -0.381473 
6317.7417 -0.381183 
6323.8895 -0.380944 
6330.0374 -0.380696 
6336.1852 -0.380384 
6342.3331 -0.380063 
6348.4809 -0.379817 
6354.6288 -0.379643 
6360.7767 -0.379509 
6366.9245 -0.379406 
6373.0724 -0.379306 
6379.2202 -0.379164 
6385.3681 -0.378956 
6391.5159 -0.378724 
6397.6638 -0.378522 
6403.8116 -0.378315 
6409.9595 -0.378089 
6416.1074 -0.377863 
6422.2552 -0.377588 
6428.4031 -0.377270 
6434.5509 -0.376992 
6440.6988 -0.376771 
6446.8466 -0.376553 
6452.9945 -0.376267 
6459.1423 -0.375914 
6465.2902 -0.375606 
6471.4381 -0.375352 
6477.5859 -0.375054 
6483.7338 -0.374695 
6489.8816 -0.374338 
6496.0295 -0.374036 
6502.1773 -0.373735 
6508.3252 -0.373358 
6514.4730 -0.372983 
6520.6209 -0.372694 
6526.7688 -0.372441 
6532.9166 -0.372189 
6539.0645 -0.371925 
6545.2123 -0.371614 
6551.3602 -0.371313 
6557.5080 -0.371080 
6563.6559 -0.370858 
6569.8037 -0.370538 
6575.9516 -0.370110 
6582.0995 -0.369701 
6588.2473 -0.369364 
6594.3952 -0.369048 
6600.5430 -0.368775 
6606.6909 -0.368556 
6612.8387 -0.368305 
6618.9866 -0.367989 
6625.1345 -0.367669 
6631.2823 -0.367431 
6637.4302 -0.367291 
6643.5780 -0.367168 
6649.7259 -0.366990 
6655.8737 -0.366710 
6662.0216 -0.366356 
6668.1694 -0.366037 
6674.3173 -0.365751 
6680.4652 -0.365453 
6686.6130 -0.365148 
6692.7609 -0.364781 
6698.9087 -0.364377 
6705.0566 -0.364030 
6711.2044 -0.363705 
6717.3523 -0.363419 
6723.5001 -0.363255 
6729.6480 -0.363092 
6735.7959 -0.362798 
6741.9437 -0.362464 
6748.0916 -0.362234 
6754.2394 -0.362096 
6760.3873 -0.361932 
6766.5351 -0.361694 
6772.6830 -0.361440 
6778.8308 -0.361196 
6784.9787 -0.360929 
6791.1266 -0.360603 
6797.2744 -0.360235 
6803.4223 -0.359916 
6809.5701 -0.359666 
6815.7180 -0.359416 
6821.8658 -0.359173 
6828.0137 -0.358975 
6834.1616 -0.358809 
6840.3094 -0.358651 
6846.4573 -0.358495 
6852.6051 -0.358341 
6858.7530 -0.358149 
6864.9008 -0.357933 
6871.0487 -0.357766 
6877.1965 -0.357583 
6883.3444 -0.357350 
6889.4923 -0.357259 
6895.6401 -0.357365 
6901.7880 -0.357377 
6907.9358 -0.357105 
6914.0837 -0.356768 
6920.2315 -0.356627 
6926.3794 -0.356606 
6932.5272 -0.356599 
6938.6751 -0.356629 
6944.8230 -0.356617 
6950.9708 -0.356541 
6957.1187 -0.356514 
6963.2665 -0.356554 
6969.4144 -0.356661 
6975.5622 -0.356884 
6981.7101 -0.357190 
6987.8579 -0.357515 
6994.0058 -0.357808 
7000.1537 -0.358049 
7006.3015 -0.358240 
7012.4494 -0.358379 
7018.5972 -0.358592 
7024.7451 -0.358959 
7030.8929 -0.359250 
7037.0408 -0.359417 
7043.1887 -0.359825 
7049.3365 -0.360490 
7055.4844 -0.360847 
7061.6322 -0.360652 
7067.7801 -0.360591 
7073.9279 -0.361186 
7080.0758 -0.361647 
7086.2236 -0.361270 
7092.3715 -0.360711 
7098.5194 -0.360624 
7104.6672 -0.360630 
7110.8151 -0.360637 
7116.9629 -0.361230 
7123.1108 -0.361951 
7129.2586 -0.361545 
7135.4065 -0.360611 
7141.5543 -0.360974 
7147.7022 -0.361832 
7153.8501 -0.361270 
7159.9979 -0.360072 
7166.1458 -0.359980 
7172.2936 -0.360472 
7178.4415 -0.361027 
7184.5893 -0.362110 
7190.7372 -0.362816 
7196.8850 -0.362343 
7203.0329 -0.361693 
7209.1808 -0.361277 
7215.3286 -0.360140 
7221.4765 -0.358009 
7227.6243 -0.356008 
7233.7722 -0.355734 
7239.9200 -0.357462 
7246.0679 -0.359868 
7252.2157 -0.361582 
7258.3636 -0.362208 
7264.5115 -0.362246 
7270.6593 -0.362167 
7276.8072 -0.361624 
7282.9550 -0.360299 
7289.1029 -0.358902 
7295.2507 -0.357859 
7301.3986 -0.356906 
7307.5465 -0.356560 
7313.6943 -0.356743 
7319.8422 -0.356388 
