#时间: 20240829 164945
#方向: 正向
#光源电流: 0.002930
#干涉仪温度: 32.549999
#干涉仪湿度: 53.120510
#激光波长: 790.795181
#动镜速度: 7.5k
#增益: Default
#累积帧数: 16
#校正: 功率谱
#XUnit: cm-1
5450.8940 -0.353799 
5457.0418 -0.355065 
5463.1897 -0.355073 
5469.3376 -0.356171 
5475.4854 -0.357358 
5481.6333 -0.356454 
5487.7811 -0.355226 
5493.9290 -0.356358 
5500.0768 -0.358439 
5506.2247 -0.359651 
5512.3725 -0.360515 
5518.5204 -0.361459 
5524.6683 -0.362011 
5530.8161 -0.362200 
5536.9640 -0.362402 
5543.1118 -0.362623 
5549.2597 -0.363067 
5555.4075 -0.363811 
5561.5554 -0.364387 
5567.7032 -0.364602 
5573.8511 -0.364719 
5579.9990 -0.364879 
5586.1468 -0.364926 
5592.2947 -0.364803 
5598.4425 -0.364696 
5604.5904 -0.364667 
5610.7382 -0.364593 
5616.8861 -0.364439 
5623.0339 -0.364252 
5629.1818 -0.364070 
5635.3297 -0.363868 
5641.4775 -0.363564 
5647.6254 -0.363119 
5653.7732 -0.362572 
5659.9211 -0.362029 
5666.0689 -0.361586 
5672.2168 -0.361209 
5678.3646 -0.360825 
5684.5125 -0.360450 
5690.6604 -0.360103 
5696.8082 -0.359759 
5702.9561 -0.359398 
5709.1039 -0.359008 
5715.2518 -0.358621 
5721.3996 -0.358298 
5727.5475 -0.358047 
5733.6954 -0.357813 
5739.8432 -0.357541 
5745.9911 -0.357237 
5752.1389 -0.356981 
5758.2868 -0.356810 
5764.4346 -0.356683 
5770.5825 -0.356585 
5776.7303 -0.356543 
5782.8782 -0.356589 
5789.0261 -0.356742 
5795.1739 -0.356973 
5801.3218 -0.357225 
5807.4696 -0.357452 
5813.6175 -0.357617 
5819.7653 -0.357708 
5825.9132 -0.357757 
5832.0610 -0.357790 
5838.2089 -0.357818 
5844.3568 -0.357830 
5850.5046 -0.357829 
5856.6525 -0.357866 
5862.8003 -0.357968 
5868.9482 -0.358111 
5875.0960 -0.358306 
5881.2439 -0.358590 
5887.3917 -0.358964 
5893.5396 -0.359400 
5899.6875 -0.359876 
5905.8353 -0.360423 
5911.9832 -0.361097 
5918.1310 -0.361889 
5924.2789 -0.362715 
5930.4267 -0.363492 
5936.5746 -0.364211 
5942.7225 -0.364913 
5948.8703 -0.365602 
5955.0182 -0.366281 
5961.1660 -0.366948 
5967.3139 -0.367555 
5973.4617 -0.368059 
5979.6096 -0.368482 
5985.7574 -0.368883 
5991.9053 -0.369304 
5998.0532 -0.369703 
6004.2010 -0.370055 
6010.3489 -0.370398 
6016.4967 -0.370707 
6022.6446 -0.370908 
6028.7924 -0.371002 
6034.9403 -0.371041 
6041.0881 -0.371070 
6047.2360 -0.371088 
6053.3839 -0.371068 
6059.5317 -0.371029 
6065.6796 -0.370997 
6071.8274 -0.370963 
6077.9753 -0.370894 
6084.1231 -0.370776 
6090.2710 -0.370653 
6096.4188 -0.370534 
6102.5667 -0.370389 
6108.7146 -0.370254 
6114.8624 -0.370148 
6121.0103 -0.370012 
6127.1581 -0.369822 
6133.3060 -0.369606 
6139.4538 -0.369417 
6145.6017 -0.369251 
6151.7496 -0.369046 
6157.8974 -0.368822 
6164.0453 -0.368629 
6170.1931 -0.368450 
6176.3410 -0.368271 
6182.4888 -0.368075 
6188.6367 -0.367860 
6194.7845 -0.367680 
