#时间: 20240903 103803
#方向: 正向
#光源电流: 0.001465
#干涉仪温度: 28.709999
#干涉仪湿度: 58.235447
#激光波长: 790.590918
#动镜速度: 7.5k
#增益: Default
#累积帧数: 4
#校正: 功率谱
#XUnit: cm-1
4000.0000 -0.277430 
4006.1479 -0.188790 
4012.2957 -0.103862 
4018.4436 -0.023568 
4024.5914 0.050298 
4030.7393 0.112186 
4036.8871 0.156553 
4043.0350 0.183359 
4049.1828 0.192009 
4055.3307 0.182063 
4061.4786 0.158952 
4067.6264 0.129608 
4073.7743 0.097418 
4079.9221 0.062865 
4086.0700 0.026605 
4092.2178 -0.008763 
4098.3657 -0.041111 
4104.5135 -0.070712 
4110.6614 -0.097672 
4116.8093 -0.121114 
4122.9571 -0.141224 
4129.1050 -0.159020 
4135.2528 -0.175235 
4141.4007 -0.190065 
4147.5485 -0.203303 
4153.6964 -0.215021 
4159.8443 -0.225539 
4165.9921 -0.234993 
4172.1400 -0.243500 
4178.2878 -0.251151 
4184.4357 -0.257924 
4190.5835 -0.263769 
4196.7314 -0.268587 
4202.8792 -0.272402 
4209.0271 -0.275375 
4215.1750 -0.277674 
4221.3228 -0.279594 
4227.4707 -0.281236 
4233.6185 -0.282317 
4239.7664 -0.282782 
4245.9142 -0.283000 
4252.0621 -0.283426 
4258.2099 -0.284370 
4264.3578 -0.285828 
4270.5057 -0.287570 
4276.6535 -0.289261 
4282.8014 -0.290578 
4288.9492 -0.291459 
4295.0971 -0.291944 
4301.2449 -0.291960 
4307.3928 -0.291435 
4313.5406 -0.290392 
4319.6885 -0.289202 
4325.8364 -0.288621 
4331.9842 -0.289066 
4338.1321 -0.290253 
4344.2799 -0.291769 
4350.4278 -0.293595 
4356.5756 -0.295964 
4362.7235 -0.298877 
4368.8714 -0.302116 
4375.0192 -0.305525 
4381.1671 -0.308850 
4387.3149 -0.311863 
4393.4628 -0.314740 
4399.6106 -0.317815 
4405.7585 -0.321349 
4411.9063 -0.325534 
4418.0542 -0.330413 
4424.2021 -0.335977 
4430.3499 -0.342143 
4436.4978 -0.348696 
4442.6456 -0.355393 
4448.7935 -0.361852 
4454.9413 -0.367661 
4461.0892 -0.372701 
4467.2370 -0.376986 
4473.3849 -0.380507 
4479.5328 -0.383277 
4485.6806 -0.385337 
4491.8285 -0.386775 
4497.9763 -0.387693 
4504.1242 -0.388245 
4510.2720 -0.388661 
4516.4199 -0.389043 
4522.5677 -0.389313 
4528.7156 -0.389395 
4534.8635 -0.389281 
4541.0113 -0.389060 
4547.1592 -0.388793 
4553.3070 -0.388405 
4559.4549 -0.387840 
4565.6027 -0.387137 
4571.7506 -0.386415 
4577.8985 -0.385875 
4584.0463 -0.385631 
4590.1942 -0.385672 
4596.3420 -0.385937 
4602.4899 -0.386368 
4608.6377 -0.387093 
4614.7856 -0.388313 
4620.9334 -0.389982 
4627.0813 -0.391916 
4633.2292 -0.393941 
4639.3770 -0.395870 
4645.5249 -0.397571 
4651.6727 -0.399036 
4657.8206 -0.400389 
4663.9684 -0.401763 
4670.1163 -0.403148 
4676.2641 -0.404479 
4682.4120 -0.405660 
4688.5599 -0.406578 
4694.7077 -0.407240 
4700.8556 -0.407685 
4707.0034 -0.407941 
4713.1513 -0.408079 
4719.2991 -0.408114 
4725.4470 -0.408066 
4731.5948 -0.407979 
4737.7427 -0.407847 
