#时间: 20240903 095705
#方向: 正向
#光源电流: 0.002930
#干涉仪温度: 28.590000
#干涉仪湿度: 58.404133
#激光波长: 790.584535
#动镜速度: 7.5k
#增益: Default
#累积帧数: 4
#校正: 功率谱
#XUnit: cm-1
4000.0000 -0.156592 
4006.1479 -0.062252 
4012.2957 0.025685 
4018.4436 0.103871 
4024.5914 0.166585 
4030.7393 0.206933 
4036.8871 0.222606 
4043.0350 0.217117 
4049.1828 0.195943 
4055.3307 0.165644 
4061.4786 0.131801 
4067.6264 0.097558 
4073.7743 0.063868 
4079.9221 0.030237 
4086.0700 -0.003376 
4092.2178 -0.035370 
4098.3657 -0.064368 
4104.5135 -0.090693 
4110.6614 -0.114389 
4116.8093 -0.134798 
4122.9571 -0.152323 
4129.1050 -0.167834 
4135.2528 -0.181758 
4141.4007 -0.194428 
4147.5485 -0.205919 
4153.6964 -0.216066 
4159.8443 -0.224901 
4165.9921 -0.232720 
4172.1400 -0.239838 
4178.2878 -0.246251 
4184.4357 -0.251766 
4190.5835 -0.256304 
4196.7314 -0.259848 
4202.8792 -0.262516 
4209.0271 -0.264510 
4215.1750 -0.265903 
4221.3228 -0.266820 
4227.4707 -0.267425 
4233.6185 -0.267639 
4239.7664 -0.267323 
4245.9142 -0.266628 
4252.0621 -0.266064 
4258.2099 -0.266174 
4264.3578 -0.267062 
4270.5057 -0.268478 
4276.6535 -0.270101 
4282.8014 -0.271567 
4288.9492 -0.272619 
4295.0971 -0.273144 
4301.2449 -0.273014 
4307.3928 -0.272131 
4313.5406 -0.270551 
4319.6885 -0.268748 
4325.8364 -0.267634 
4331.9842 -0.267724 
4338.1321 -0.268672 
4344.2799 -0.270031 
4350.4278 -0.271836 
4356.5756 -0.274314 
4362.7235 -0.277429 
4368.8714 -0.280927 
4375.0192 -0.284580 
4381.1671 -0.288084 
4387.3149 -0.291176 
4393.4628 -0.294047 
4399.6106 -0.297161 
4405.7585 -0.300836 
4411.9063 -0.305177 
4418.0542 -0.310187 
4424.2021 -0.315920 
4430.3499 -0.322337 
4436.4978 -0.329182 
4442.6456 -0.336142 
4448.7935 -0.342872 
4454.9413 -0.349032 
4461.0892 -0.354418 
4467.2370 -0.358925 
4473.3849 -0.362555 
4479.5328 -0.365362 
4485.6806 -0.367328 
4491.8285 -0.368513 
4497.9763 -0.369149 
4504.1242 -0.369475 
4510.2720 -0.369644 
4516.4199 -0.369696 
4522.5677 -0.369597 
4528.7156 -0.369329 
4534.8635 -0.368915 
4541.0113 -0.368413 
4547.1592 -0.367840 
4553.3070 -0.367149 
4559.4549 -0.366362 
4565.6027 -0.365514 
4571.7506 -0.364644 
4577.8985 -0.363898 
4584.0463 -0.363401 
4590.1942 -0.363187 
4596.3420 -0.363276 
4602.4899 -0.363663 
4608.6377 -0.364431 
4614.7856 -0.365749 
4620.9334 -0.367576 
4627.0813 -0.369674 
4633.2292 -0.371841 
4639.3770 -0.373922 
4645.5249 -0.375797 
4651.6727 -0.377431 
4657.8206 -0.378952 
4663.9684 -0.380571 
4670.1163 -0.382313 
4676.2641 -0.383984 
4682.4120 -0.385404 
4688.5599 -0.386537 
4694.7077 -0.387368 
4700.8556 -0.387828 
4707.0034 -0.388004 
4713.1513 -0.388149 
4719.2991 -0.388332 
4725.4470 -0.388477 
4731.5948 -0.388565 
4737.7427 -0.388619 
4743.8906 -0.388707 
4750.0384 -0.388869 
4756.1863 -0.389097 
4762.3341 -0.389413 
4768.4820 -0.389741 
4774.6298 -0.389928 
4780.7777 -0.389974 
4786.9256 -0.389930 
4793.0734 -0.389791 
4799.2213 -0.389545 
4805.3691 -0.389146 
4811.5170 -0.388535 
4817.6648 -0.387664 
4823.8127 -0.386559 
4829.9605 -0.385366 
4836.1084 -0.384202 
4842.2563 -0.383171 
4848.4041 -0.382485 
4854.5520 -0.382362 
4860.6998 -0.382974 
4866.8477 -0.384386 
4872.9955 -0.386521 
4879.1434 -0.389277 
4885.2912 -0.392443 
4891.4391 -0.395685 
4897.5870 -0.398815 
4903.7348 -0.401813 
4909.8827 -0.404681 
4916.0305 -0.407340 
4922.1784 -0.409627 
4928.3262 -0.411507 
4934.4741 -0.413068 
4940.6219 -0.414343 
4946.7698 -0.415413 
4952.9177 -0.416358 
4959.0655 -0.417110 
4965.2134 -0.417581 
4971.3612 -0.417749 
4977.5091 -0.417621 
4983.6569 -0.417262 
4989.8048 -0.416779 
4995.9526 -0.416268 
5002.1005 -0.415719 
5008.2484 -0.415065 
5014.3962 -0.414317 
5020.5441 -0.413502 
5026.6919 -0.412613 
5032.8398 -0.411678 
5038.9876 -0.410761 
5045.1355 -0.409951 
5051.2834 -0.409245 
5057.4312 -0.408522 
5063.5791 -0.407775 
5069.7269 -0.407075 
5075.8748 -0.406365 
5082.0226 -0.405550 
5088.1705 -0.404609 
5094.3183 -0.403574 
5100.4662 -0.402462 
5106.6141 -0.401264 
5112.7619 -0.400067 
5118.9098 -0.398877 
5125.0576 -0.397456 
5131.2055 -0.395795 
5137.3533 -0.394140 
5143.5012 -0.392411 
5149.6490 -0.390561 
5155.7969 -0.389108 
5161.9448 -0.388390 
5168.0926 -0.387923 
5174.2405 -0.387178 
5180.3883 -0.386532 
5186.5362 -0.386452 
5192.6840 -0.386264 
5198.8319 -0.385964 
5204.9797 -0.387258 
5211.1276 -0.389900 
5217.2755 -0.392088 
